Genus,d.PS79.178.20m_p.fastq,d.PS79.178.60m_p.fastq,d.PS79.179.20m_p.fastq,d.PS79.179.60m_p.fastq,d.PS79.193.20m_p.fastq,d.PS79.193.60m_p.fastq,d.PS79.241.20m_p.fastq,d.PS79.241.60m_p.fastq,d.PS79.262.20m_p.fastq,d.PS79.262.60m_p.fastq,d.PS79.287.20m_p.fastq,d.PS79.287.60m_p.fastq,d.PS79.296.20m_p.fastq,d.PS79.296.60m_p.fastq,d.PS79.297.20m_p.fastq,d.PS79.297.60m_p.fastq,d.PS79.298.20m_p.fastq,d.PS79.298.60m_p.fastq,d.PS79.300.20m_p.fastq,d.PS79.300.60m_p.fastq,d.PS79.302.20m_p.fastq,d.PS79.302.60m_p.fastq,d.PS79.304.20m_p.fastq,d.PS79.304.70m_p.fastq,d.PS79.306.20m_p.fastq,d.PS79.306.60m_p.fastq,d.PS79.307.20m_p.fastq,d.PS79.307.60m_p.fastq,d.PS79.308.20m_p.fastq,d.PS79.311.20m_p.fastq,d.PS79.311.60m_p.fastq,d.PS79.312.20m_p.fastq,d.PS79.312.60m_p.fastq,d.PS79.313.20m_p.fastq,d.PS79.314.20m_p.fastq,d.PS79.314.60m_p.fastq,d.PS79.315.20m_p.fastq,d.PS79.315.60m_p.fastq,d.PS79.317.20m_p.fastq,d.PS79.317.60m_p.fastq,d.PS79.318.20m_p.fastq,d.PS79.318.50m_p.fastq,d.PS79.319.20m_p.fastq,d.PS79.319.60m_p.fastq,d.PS79.320.20m_p.fastq,d.PS79.320.60m_p.fastq,d.PS79.321.20m_p.fastq,d.PS79.321.60m_p.fastq,d.PS79.322.20m_p.fastq,d.PS79.322.60m_p.fastq,d.PS79.323.20m_p.fastq,d.PS79.323.60m_p.fastq,d.PS79.324.20m_p.fastq,d.PS79.324.60m_p.fastq,d.PS79.326.20m_p.fastq,d.PS79.326.60m_p.fastq,d.PS79.329.20m_p.fastq,d.PS79.329.60m_p.fastq,d.PS79.330.20m_p.fastq,d.PS79.330.60m_p.fastq
Escherichia/Shigella_27,0,0,2,5059,0,10,0,0,8,10,0,19,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clade_Ia_28,60,1,0,0,0,0,0,0,0,0,0,0,193,196,106,102,242,164,208,29,12,34,31,68,25,47,11,11,11,0,0,3,0,23,79,127,44,95,37,9,55,27,121,9,201,130,241,85,204,152,173,82,127,47,69,62,521,441,462,299
Clade_Ia_29,663,53,97,0,0,0,0,0,40,0,0,0,275,426,666,378,364,835,85,0,0,15,0,33,0,0,0,0,0,0,0,0,0,1,0,40,0,12,0,0,0,0,40,0,33,36,46,18,65,37,66,20,45,0,8,18,258,234,334,160
Unknown_30,71,0,0,0,0,0,0,0,0,0,0,0,70,73,165,173,56,112,128,114,68,280,40,314,0,60,0,58,36,26,0,0,0,0,58,117,67,189,155,294,97,405,52,170,32,71,115,162,69,120,91,113,126,53,207,186,71,34,47,100
Prochlorococcus_MIT9313_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0,68,0,45,0,6,0,6,0,0,0,0,0,0,0,0,0,120,137,13,0,348,0,0,0,21,0,2,0,5,0,0,0,0,0,17,0,0,0,0
Clade_Ib_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,79,198,61,277,142,186,206,232,199,260,269,0,128,340,229,157,91,165,125,80,0,69,20,0,67,14,4,18,14,18,17,75,49,154,140,245,133,59,44,0,38
Clade_Ia_33,212,0,0,0,0,0,0,0,0,8,9,0,225,283,216,136,237,285,119,26,4,0,11,32,0,0,0,0,0,0,0,0,0,0,0,100,0,14,6,0,0,6,33,8,104,86,127,63,202,122,122,89,77,0,75,47,417,359,470,285
Prochlorococcus_MIT9313_34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,50,61,129,104,128,11,58,0,68,0,5,0,0,0,0,6,101,0,22,49,0,0,20,0,0,17,0,11,7,0,0,140,38,90,0,114,77,0,0,0,0
Prochlorococcus_MIT9313_35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,46,21,51,5,109,135,58,107,89,183,0,247,175,58,58,0,36,66,14,0,38,0,0,0,0,0,12,7,0,0,7,0,0,72,0,0,0,0,0,0
Prochlorococcus_MIT9313_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,21,51,26,74,0,112,0,57,65,76,84,0,153,0,125,90,0,111,121,59,0,87,0,0,0,0,14,75,12,9,15,63,0,0,97,0,1,0,0,0,0
Unknown_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,126,196,142,132,141,179,103,214,88,178,36,0,143,244,181,222,76,240,261,137,39,191,67,61,14,40,49,101,126,35,48,61,71,80,110,108,104,18,0,0,35
Unknown_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,156,131,120,70,140,118,150,59,93,59,12,0,0,41,40,236,11,133,143,128,43,130,69,51,5,69,120,42,106,28,44,18,90,0,123,23,46,0,0,0,0
Prochlorococcus_MIT9313_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,58,56,19,67,4,106,154,47,183,51,14,0,34,17,85,166,0,146,148,61,0,149,0,0,0,26,0,33,34,0,0,8,0,0,134,0,0,0,0,0,0
Pseudomonas_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prochlorococcus_MIT9313_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,78,0,105,0,64,63,49,83,47,55,0,112,98,44,59,0,55,39,23,0,44,0,0,0,0,16,89,122,18,0,122,31,0,69,0,0,0,0,0,0
Prochlorococcus_MIT9313_42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,34,66,43,75,0,79,110,52,136,68,77,0,89,69,56,55,0,53,174,35,0,51,0,0,0,0,0,0,0,0,0,21,0,0,63,0,0,0,0,0,0
Unknown_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,66,0,22,87,27,0,0,68,0,42,33,0,69,49,63,0,120,53,0,0,0,48,0,30,0,64,30,39,62,52,20,149,62,148,0,224,58,20,7,0,0
Prochlorococcus_MIT9313_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,17,69,20,78,5,23,15,28,5,31,0,19,47,53,0,17,27,169,84,5,24,98,0,0,0,30,5,0,0,0,26,7,18,18,29,27,0,2,0,0
Ralstonia_45,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,52,97,0,0,197,342,111,103,63,43,26,0,313,0,220,0,18,0,22,7,11,17,77,8,32,1,12,29
Prochlorococcus_MIT9313_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,32,57,25,74,10,93,97,78,49,41,51,0,78,46,28,52,0,35,119,44,0,65,0,0,0,0,0,35,13,0,0,0,0,0,62,0,0,0,0,0,0
Sphingomonas_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,29,3,27,6,0,60,0,19,0,75,0,0,0,0,135,991,0,5,11,125,65,36,118,19,14,0,11,231,0,10,9,0,0,0,0,0,0,120,0,0,0,9,0
Unknown_48,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,49,0,44,0,18,0,8,0,0,0,0,0,0,5,23,32,64,102,421,0,234,47,336,48,87,22,26,39,140,21,80,17,0,38,123,28,79,40,81
Planktomarina_49,214,46,227,0,0,0,0,0,7,0,0,0,63,85,0,94,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prochlorococcus_MIT9313_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,46,59,80,69,136,26,60,14,59,12,24,0,14,15,35,14,11,21,58,25,0,20,25,0,0,0,0,9,0,0,0,31,7,0,0,8,27,0,0,0,0
Unknown_51,81,0,0,0,0,0,0,0,0,0,0,0,0,79,72,0,152,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,10,0,0,22,0,32,19,15,14,158,99,37,76,19,0,36,32,98,110,67,111
Acinetobacter_52,0,0,0,0,0,0,0,0,0,0,0,0,174,75,32,1172,10,0,7,14,6,0,0,8,2,0,4,1,6,0,0,3,77,0,0,0,13,13,17,33,8,12,0,10,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0
NS2b_marine_group_53,415,32,23,0,0,0,0,0,0,0,0,0,144,178,122,203,97,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,304,51,171,212
Unknown_54,43,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,26,0,8,30,0,12,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,54,77,37,124,81,41,47,186,168,91,189,64,0,103,80,89,87,31,114
Ascidiaceihabitans_55,53,20,332,0,0,0,9,0,0,0,0,0,72,76,72,64,29,0,11,16,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14,11,0,6,35,32,1,0,0,0,122,153,11,28
Unknown_56,34,0,0,0,0,0,0,0,0,0,0,0,336,340,237,303,59,27,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,5,0,25,4,42,36,106,29,31,18,0,0,3,0,89,107,17,25
Ascidiaceihabitans_57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,123,84,22,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,8,0,17,13,51,26,21,12,6,0,26,12,517,243,102,69
Planktomarina_58,5,0,329,0,54,79,69,23,97,42,60,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown_59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,44,0,260,42,0,126,59,112,93,96,74,35,59,0,0,59,0,161,119,47,111,290,107,0,178,0,0,0,56,96,128,0,24,58,102,28,0,169,0,0,0,0,0,0
Prochlorococcus_MIT9313_60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,35,42,40,82,10,46,85,44,131,48,17,0,11,12,80,57,0,46,91,30,2,61,0,0,0,6,8,26,22,6,0,20,0,0,53,0,6,0,0,0,0
Prochlorococcus_MIT9313_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,45,0,25,5,74,61,54,43,69,39,0,84,39,32,53,0,31,59,16,0,53,0,0,0,0,0,16,13,0,0,0,0,0,55,0,0,0,0,0,0
Clade_Ia_62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,92,51,40,39,38,52,63,33,35,26,74,44,0,0,13,41,64,36,0,60,43,0,29,61,196,37,89,113,108,67,109,125,96,96,64,67,68,72,113,62,54,49
Unknown_63,814,53,197,0,0,0,0,0,0,0,0,0,0,3,76,84,134,160,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,34,19,24
Unknown_64,24,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,108,63,9,2,1,15,0,42,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,6,0,0,4,21,22,88,61,31,59,44,0,60,62,393,305,133,287
Unknown_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,76,38,0,56,103,0,101,164,116,77,16,171,57,50,0,101,0,4,0,17,25,0,9,16,0,11,15,32,73,0,5,0,0,0,0
Unknown_66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,64,96,93,62,80,131,0,28,0,6,1,15,0,2,5,0,0,141,0,0,0,0,0,0,0,0,4,0,14,10,31,47,147,83,155,0,394,127,0,61,25,19
Clade_Ia_67,17,0,0,0,0,0,0,0,0,0,0,0,53,45,44,32,63,69,92,33,24,24,38,37,20,16,15,14,14,5,0,0,13,0,60,77,0,99,41,0,75,14,55,0,98,103,87,65,57,64,83,32,71,32,75,47,104,91,112,82
Prochlorococcus_MIT9313_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,30,42,13,21,31,28,84,28,31,0,24,29,24,0,38,20,109,73,12,11,66,0,0,0,0,2,0,5,0,27,10,19,8,35,17,0,0,0,0
NS2b_marine_group_69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10,60,16,2,31,0,10,0,3,0,0,0,0,0,0,0,0,0,84,0,176,59,0,5,37,88,2,359,106,150,62,102,44,26,39,42,0,66,53,118,30,7,78
Unknown_70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,10,4,20,10,62,46,58,55,64,44,0,132,117,63,144,6,118,160,94,35,98,8,0,0,28,0,37,38,15,31,41,26,0,69,6,0,0,0,0,0
Sphingobium_71,85,56,90,0,0,0,0,0,0,107,0,49,93,48,31,380,0,34,11,145,25,5,20,5,13,5,7,1,9,3,0,0,17,0,5,0,2,10,0,9,0,24,0,0,23,0,0,2,3,0,0,0,0,0,14,4,10,7,4,4
Unknown_72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,20,4,21,8,55,38,53,31,67,28,1,53,54,39,31,0,46,68,33,0,24,0,11,0,28,12,23,18,0,0,5,5,0,22,8,6,0,0,0,0
