ID,Lon,Lat,Province,Cruise,Station,Depth [m],Bot. Depth [m],Pres [dbar],Salinity [psu],Fluorometer [V],Transmission [proz],pot.Temperature [┬░C],Sigma [kg m-3],Bac_all/ml,Bacterial Biomass Production per hour_[ng C/l/h],Bacterial Biomass Production per day_[microg C/l/d],Bacterial generation time (days)_[days],Glucose turnover rate _[per day],Glucose turnover time_[days],Amino acid turnover rate _[per day],Amino acid turnover time_[days],Chl a_mean chl a [microg/L],Dissolved Inorganic Nutrients_NO X ( microM),NO2 ( microM ),NO3 (microM ),PO4 ( microM ),Si  ( microM ),HNA/ml,LNA/ml,Bac_size [microm],HNA_size [microm],LNA_size [microm],Bac_SSC,HNA_SSC,LNA_SSC,Prokaryotes/ml,Picoplankton/ml,Nanoplankton/ml,Microplankton/ml,Eukaryotes/ml,Prokaryotes rel.microm,Pico rel.microm,Nano rel.microm,Micro rel.microm,Eukaryotes rel.microm,Prokaryotes SSC,Pico SSC,Nano SSC,Micro  SSC,Eukaryotes SSC,Syn/ml,Proc/ml,Syn_size [microm],Proc_size [microm],Syn SSC,Proc SSC,TPN[microg/l],POC [microg/l],Growth rate,DNA_div,DNA_ENS,RNA_div,RNA_ENS,MLD
205_40,-55.65,-60.666667000000004,APLR,PS79,205,40,3537.5,41.0,33.8599,0.4692,97.5252,1.7904,27.0741,554603.7037037039,54.869694188843,131687266053223.0,4.99377850428929,556564387810877.0,179673730820845.0,890241852953514.0,11232902572288.0,0.734153116514845,25.260566838383898,0.32,24.940566838383898,167.0,40.8999718603036,328411.111111111,220325.925925926,0.4855438565,0.4867898417,0.4842231029,2247.43,2328.3,2136.89,144.642857142857,1633.92857142857,1510.71428571429,16.071428571428598,3144.64285714286,0.530632998537,0.8516485154919999,5.3833064323399995,32.05323779914,3.3322399188599996,6526.11,14574.78,198837.27,2033466.0,103540.19,7638.8790566464295,0.0,0.8480269594050871,0.0,5135.27686422484,0.0,211692042648792.0,982879166305065.0,0.138802147505057,,,,,
205_60,-55.65,-60.666667000000004,APLR,PS79,205,60,3537.5,61.0,33.9567,0.3002,98.7073,0.3722,27.2442,389992.307692308,25.6920900268795,616610160645109.0,7.591037010733,498327849218745.0,200671104688962.0,809464797353704.0,123538417392479.0,0.5962614505415501,27.297868652423602,0.3,26.997868652423602,191.0,44.177211436643,241153.846153846,144988.461538462,0.4845346637,0.4855562921,0.4833623633,2129.17,2191.97,2026.16,107.142857142857,1360.71428571429,1130.35714285714,5.35714285714286,2491.0714285714303,0.5258947474600001,0.9475602302299999,5.09974404866,37.3579349591,3.1402868241400004,6115.1,24325.61,213545.5,4287459.0,109547.84,7099.78728329039,0.0,0.860329737576759,0.0,5155.42246896361,0.0,166154140606523.0,739990089833736.0,0.091311263478218,,,,,
205_100,-55.65,-60.666667000000004,APLR,PS79,205,100,3537.5,101.0,34.2253,0.0227,100.6245,0.1736,27.4717,165000.0,3.6336238008807302,872069712211376.0,23.064507925086,198299099763081.0,504288724051071.0,274849670237781.0,363835255517996.0,0.18702955387219197,32.5987953838485,0.2,32.3987953838485,213.0,58.77922723896,110761.538461538,52419.2307692308,0.4841794493,0.48476020729999997,0.4829854253,2103.63,2140.38,2037.89,58.928571428571395,642.857142857143,412.5,0.0,996.4285714285719,0.494453068205,1.76144788806,4.2598625159,0.0,2.7514585715799997,5533.91,40386.06,179101.97,0.0,95633.06,9943.56886297655,0.0,0.7954309287417389,0.0,5049.151695601379,0.0,42706043459475.0,200283054468886.0,0.0300525457907579,,,,,
205_200,-55.65,-60.666667000000004,APLR,PS79,205,200,3537.5,201.0,34.5172,-0.0537,101.1081,1.7862,27.6014,131957.692307692,4.1273226868699595,990557444848791.0,31.9232505409408,422820438422076.0,236507015538771.0,200412356484777.0,498971229888192.0,0.00910145215558305,35.1472582541448,0.64,34.5072582541448,233.0,76.5062329186055,87873.07692307691,42265.3846153846,0.4847941085,0.4853745569,0.48370524530000003,2131.45,2166.71,2093.3,32.1428571428571,42.8571428571429,26.785714285714302,0.0,64.28571428571429,0.491511860537,1.8661272016599997,3.4399624095,0.0,2.4623380241,8103.33,168618.62,190098.0,0.0,179854.67,9109.21136342981,0.0,0.8144720563198722,0.0,5080.3312409542295,0.0,205071914630632.0,114227094501257.0,0.0217129261216993,,,,,
205_500,-55.65,-60.666667000000004,APLR,PS79,205,500,3537.5,507.0,34.6863,-0.0448,101.2326,1.923,27.7264,85630.7692307692,104.01755281125999,132929227026232.0,11.370863173916199,155041352936661.0,114830373840977.0,144713146410205.0,140823109886700.0,0.512850955314503,212175156619663.0,0.196544893096811,16.0361915442866,61.280379344276,265097584514395.0,57369.2307692308,27034.6153846154,0.4863526349,0.48693643729999997,0.48515613409999997,2498.03,2501.73,2489.84,37.5,37.5,0.0,0.0,37.5,0.485486895619,0.9407415913539999,0.0,0.0,0.9407415913539999,5591.29,153481.71,0.0,0.0,153481.71,16533.549347627,0.0,0.6450389694032029,0.0,4802.88724000873,0.0,114251237378765.0,138263438044401.0,0.27796163378508004,,,,,
205_1000,-55.65,-60.666667000000004,APLR,PS79,205,1000,3537.5,1016.0,34.7227,-0.048,101.3138,1.3685,27.7971,51826.92307692309,104.01755281125999,132929227026231.0,11.370863173916199,155041352936661.0,114830373840976.0,144713146410205.0,140823109886700.0,0.5128509553145021,212175156619664.0,0.196544893096811,16.0361915442866,61.2803793442758,265097584514395.0,35876.9230769231,15653.846153846202,0.48624799009999997,0.48718411729999994,0.48407779729999995,2643.58,2654.84,2645.21,10.7142857142857,10.7142857142857,0.0,0.0,10.7142857142857,0.49074714034999994,1.8741186931,0.0,0.0,1.8741186931,3824.0,210035.5,0.0,0.0,210035.5,16533.549347627,0.0,0.6450389694032029,0.0,4802.88724000873,0.0,114251237378765.0,138263438044401.0,0.27796163378508004,,,,,
205_2000,-55.65,-60.666667000000004,APLR,PS79,205,2000,3537.5,2031.0,34.7007,-0.0407,101.2843,0.5442,27.8338,34507.4074074074,104.01755281125999,132929227026231.0,11.370863173916199,155041352936661.0,114830373840976.0,144713146410205.0,140823109886700.0,0.512850955314503,212175156619664.0,0.196544893096811,16.0361915442866,61.28037934427589,265097584514395.0,24607.4074074074,9859.25925925926,0.4855437017,0.4865028425,0.4832019389,2693.96,2739.8,2572.03,16.071428571428598,21.4285714285714,10.7142857142857,0.0,32.1428571428571,0.491599599237,1.6858669250999998,2.6347573131,0.0,2.0021637211,8948.67,243123.5,305898.0,0.0,264048.33,16533.549347627,0.0,0.6450389694032029,0.0,4802.88724000873,0.0,114251237378765.0,138263438044401.0,0.27796163378508004,,,,,
205_3480,-55.65,-60.666667000000004,APLR,PS79,205,3480,3537.5,3544.0,34.6526,-0.0433,100.5162,-0.2835,27.8403,41080.7692307692,104.01755281125999,132929227026231.0,11.370863173916199,155041352936661.0,114830373840976.0,144713146410205.0,140823109886700.0,0.512850955314503,212175156619664.0,0.196544893096811,16.0361915442866,61.2803793442758,265097584514395.0,30123.0769230769,10703.8461538462,0.4882613189,0.4891703561,0.48578111329999996,2381.44,2384.64,2392.77,21.4285714285714,21.4285714285714,0.0,0.0,21.4285714285714,0.49100777590000005,1.6589450961,0.0,0.0,1.6589450961,5794.25,195449.75,0.0,0.0,195449.75,16533.549347627,0.0,0.6450389694032029,0.0,4802.88724000873,0.0,114251237378765.0,138263438044401.0,0.27796163378508004,,,,,
217_20,-56.19667,-60.90472,APLR,PS79,217,20,1855.5,21.0,34.0744,0.5929,94.8043,1.1356,27.2923,694776.923076923,84.7390284100585,20337366818414.0,4.1929317123834595,154674350917167.0,646519603328114.0,4489739592371.0,2227300669507.0,4.09889341278929,24.7214746113133,0.31,24.4114746113133,18.0,61.870898945903704,494576.92307692295,195292.307692308,0.48581847170000003,0.4867258061,0.4840806353,2122.52,2178.2,1996.02,171.428571428571,1055.35714285714,2351.78571428571,10.7142857142857,3396.4285714285697,0.5046606401739999,0.95355226733,5.89637498934,30.3572010671,4.57214634202,5688.94,25638.3,175730.33,2499460.0,130679.79,14742.9060833773,0.0,0.685903786774683,0.0,4869.802732347171,0.0,40138078853488.0,181711601912975.0,0.165313252899587,,,,,
217_40,-56.19667,-60.90472,APLR,PS79,217,40,1855.5,41.0,34.1697,0.2642,97.5698,0.8245,27.389,672565.384615385,108.17863795532,259628731092767.0,3.18609719615986,224832003738284.0,444776536868858.0,890241852953514.0,11232902572288.0,3.85253831684869,25.2201263590784,0.33,24.890126359078398,178.0,62.3674419109264,476807.692307692,190850.0,0.4941511493,0.4950774725,0.49191573409999995,2079.51,2131.6,1958.63,139.285714285714,1135.71428571429,2244.64285714286,16.071428571428598,3369.64285714286,0.50472339915,0.9272463986849999,5.82709537118,20.37256993514,4.43610287066,3839.23,19893.34,162083.09,1527626.33,119184.74,10971.726357524,0.0,0.771967032228881,0.0,5010.72993604565,0.0,279698139056563.0,12591079890728.0,0.217553683357614,,,,,
