Genus,r.PS79.178.20m_p.fastq,r.PS79.178.60m_p.fastq,r.PS79.179.20m_p.fastq,r.PS79.179.60m_p.fastq,r.PS79.193.20m_p.fastq,r.PS79.193.60m_p.fastq,r.PS79.241.20m_p.fastq,r.PS79.241.60m_p.fastq,r.PS79.262.20m_p.fastq,r.PS79.262.60m_p.fastq,r.PS79.287.20m_p.fastq,r.PS79.287.60m_p.fastq,r.PS79.296.20m_p.fastq,r.PS79.296.60m_p.fastq,r.PS79.297.20m_p.fastq,r.PS79.297.60m_p.fastq,r.PS79.298.20m_p.fastq,r.PS79.298.60m_p.fastq,r.PS79.300.20m_p.fastq,r.PS79.300.60m_p.fastq,r.PS79.302.20m_p.fastq,r.PS79.302.60m_p.fastq,r.PS79.304.20m_p.fastq,r.PS79.304.70m_p.fastq,r.PS79.306.20m_p.fastq,r.PS79.306.60m_p.fastq,r.PS79.307.20m_p.fastq,r.PS79.307.60m_p.fastq,r.PS79.308.20m_p.fastq,r.PS79.310.20m_p.fastq,r.PS79.311.20m_p.fastq,r.PS79.311.60m_p.fastq,r.PS79.312.20m_p.fastq,r.PS79.312.60m_p.fastq,r.PS79.313.20m_p.fastq,r.PS79.314.20m_p.fastq,r.PS79.314.60m_p.fastq,r.PS79.315.20m_p.fastq,r.PS79.315.60m_p.fastq,r.PS79.317.20m_p.fastq,r.PS79.317.60m_p.fastq,r.PS79.318.20m_p.fastq,r.PS79.318.50m_p.fastq,r.PS79.319.20m_p.fastq,r.PS79.319.60m_p.fastq,r.PS79.320.20m_p.fastq,r.PS79.320.60m_p.fastq,r.PS79.321.20m_p.fastq,r.PS79.321.60m_p.fastq,r.PS79.322.20m_p.fastq,r.PS79.322.60m_p.fastq,r.PS79.323.20m_p.fastq,r.PS79.323.60m_p.fastq,r.PS79.324.20m_p.fastq,r.PS79.324.60m_p.fastq,r.PS79.326.20m_p.fastq,r.PS79.326.60m_p.fastq,r.PS79.329.20m_p.fastq,r.PS79.329.60m_p.fastq,r.PS79.330.20m_p.fastq,r.PS79.330.60m_p.fastq
Prochlorococcus_MIT9313_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,95,483,0,422,87,158,88,93,110,31,104,98,171,84,68,115,86,90,0,0,0,0,9,0,0,70,271,26,0,4,188,257,252,0,0,9,10,0,0,0,0
Escherichia/Shigella_27,0,273,172,94,0,0,0,0,9,3,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clade_Ia_28,0,0,0,0,0,0,0,0,0,0,0,0,33,13,6,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,53,0,0,4,0,0,0,0,4,5,0,0,0,0,0,0,59,0
Clade_Ia_29,35,0,0,0,0,0,0,0,0,0,0,22,18,35,19,21,29,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,45,0
Unknown_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0
Prochlorococcus_MIT9313_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,3,301,0,148,0,0,0,86,0,0,0,0,0,0,0,0,10,0,1970,0,144,0,1161,12,0,0,349,0,0,0,0,0,0,0,1,11,58,0,0,0,0
Clade_Ib_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,18,0,0,0,11,9,0,19,28,0,50,16,16,19,9,12,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Clade_Ia_33,0,0,0,0,0,0,0,0,0,0,0,0,55,21,15,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,82,0
Prochlorococcus_MIT9313_34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,257,0,101,343,0,314,0,69,20,148,22,0,13,35,5,14,32,23,11,0,184,0,22,0,147,0,0,0,57,0,0,0,68,371,198,396,99,235,180,0,0,0,0
Prochlorococcus_MIT9313_35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,87,40,0,0,143,203,158,194,157,17,450,464,400,297,157,98,138,86,0,0,0,10,0,0,0,6,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
